date,forecast_wind_direction,forecast_wind_speed,actual_wind_speed,actual_wind_direction,location,delta,terrain_coastal,terrain_desert,terrain_mountain,terrain_plains,terrain_tropical,hour,month,hour_sin,hour_cos,month_sin,month_cos,dir_sin,dir_cos,predicted_delta,corrected_forecast
2025-11-01 00:00:00+00:00,175.23645,2.1674871,9.179999,180.0,Bikaner,7.0125119,False,True,False,False,False,0,11,0.0,1.0,-0.5000000000000004,0.8660254037844384,0.083043885076409,-0.9965458911417057,6.987062625800002,9.154549725800003
2025-11-01 01:00:00+00:00,168.23174,4.412754,9.3669195,182.20255,Bikaner,4.9541655,False,True,False,False,False,1,11,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384,0.2039537597669822,-0.9789805227260204,5.843976230999999,10.256730230999999
2025-11-01 02:00:00+00:00,163.0091,6.77575,8.836514,183.50346,Bikaner,2.060763999999999,False,True,False,False,False,2,11,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384,0.29221981596932284,-0.9563511798261427,3.660809266,10.436559266
2025-11-01 03:00:00+00:00,161.0295,6.0908127,7.4346757,186.95287,Bikaner,1.3438629999999998,False,True,False,False,False,3,11,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384,0.32508129016334875,-0.9456860762355195,1.5628517660000014,7.653664466000001
2025-11-01 04:00:00+00:00,159.77505,3.644722,7.3447943,197.10281,Bikaner,3.7000723000000004,False,True,False,False,False,4,11,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,0.3457068420887066,-0.9383425703510707,4.290330759000001,7.935052759
2025-11-01 05:00:00+00:00,162.64589,3.01735,6.2405767,213.23172,Bikaner,3.2232267,False,True,False,False,False,5,11,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384,0.2982764151946243,-0.9544795336405303,5.041435789000002,8.058785789000002
2025-11-01 06:00:00+00:00,23.198618,1.3708391,2.4014995,257.00537,Bikaner,1.0306604,False,True,False,False,False,6,11,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384,0.39391973951812126,0.9191448410440954,3.398999414699999,4.769838514699999
2025-11-01 07:00:00+00:00,12.094739,2.5772078,3.9477081,316.8476,Bikaner,1.3705002999999998,False,True,False,False,False,7,11,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384,0.20952878023089636,0.9778024801844966,2.0740034265999996,4.651211226599999
2025-11-01 08:00:00+00:00,9.865748,4.2021422,6.6818557,332.74475,Bikaner,2.4797135,False,True,False,False,False,8,11,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,0.171340161213684,0.9852119310865398,1.4172146913,5.6193568913
2025-11-01 09:00:00+00:00,3.9451082,5.232399,8.766573,340.8209,Bikaner,3.5341739999999993,False,True,False,False,False,9,11,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,0.06880073297886621,0.9976304221211233,1.5946445744000008,6.827043574400001
2025-11-01 10:00:00+00:00,360.0,5.5799994,9.743305,348.2749,Bikaner,4.163305599999999,False,True,False,False,False,10,11,0.49999999999999994,-0.8660254037844387,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,2.6173303049999994,8.197329705
2025-11-01 11:00:00+00:00,345.4655,5.020677,10.158444,352.87506,Bikaner,5.137766999999999,False,True,False,False,False,11,11,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384,-0.2509629176859313,0.9679967014130598,2.496029067099999,7.5167060670999994
2025-11-01 12:00:00+00:00,315.0001,2.5455842,8.849339,4.6667724,Bikaner,6.3037548,False,True,False,False,False,12,11,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,-0.7071055470513213,0.7071080153196198,6.822372184499999,9.3679563845
2025-11-01 13:00:00+00:00,75.96373,0.742159,8.694204,27.095472,Bikaner,7.952044999999999,False,True,False,False,False,13,11,-0.2588190451025208,-0.9659258262890683,-0.5000000000000004,0.8660254037844384,0.9701423878337612,0.242536074282174,6.363960622100006,7.106119622100006
2025-11-01 14:00:00+00:00,113.962494,5.318383,9.614426,51.842735,Bikaner,4.296043,False,True,False,False,False,14,11,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384,0.913811512997785,-0.4061385462040006,3.8726765410000015,9.191059541000001
2025-11-01 15:00:00+00:00,110.55612,9.227524,10.4166975,80.04944,Bikaner,1.189173499999999,False,True,False,False,False,15,11,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384,0.9363287192944013,-0.3511246636516811,4.041256852,13.268780852
2025-11-01 16:00:00+00:00,109.23077,8.197414,11.351422,104.697365,Bikaner,3.1540079999999993,False,True,False,False,False,16,11,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,0.944199620238341,-0.32937376510853517,4.252834554,12.450248554
2025-11-01 17:00:00+00:00,120.963684,6.297428,12.232057,122.98853,Bikaner,5.934628999999999,False,True,False,False,False,17,11,-0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384,0.8574935770241227,-0.5144946699066716,2.5401375539999993,8.837565554
2025-11-01 18:00:00+00:00,137.38599,6.114703,12.606426,136.73567,Bikaner,6.491723,False,True,False,False,False,18,11,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384,0.6770559403677079,-0.7359315549783138,4.970022858000004,11.084725858000004
2025-11-01 19:00:00+00:00,165.52966,5.7628117,12.881008,146.97612,Bikaner,7.118196299999999,False,True,False,False,False,19,11,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384,0.24987879471347224,-0.9682771235305223,1.972590149999999,7.735401849999999
2025-11-01 20:00:00+00:00,164.74483,6.1569467,13.040997,153.78868,Bikaner,6.884050300000001,False,True,False,False,False,20,11,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,0.26311826954557127,-0.9647635856681905,3.6592886399999984,9.816235339999999
2025-11-01 21:00:00+00:00,158.19853,6.7853074,12.976239,156.2796,Bikaner,6.1909316,False,True,False,False,False,21,11,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,0.37139165697606996,-0.9284762986358721,3.635249665999999,10.420557065999999
2025-11-01 22:00:00+00:00,146.68936,7.538541,12.124307,161.83395,Bikaner,4.585766,False,True,False,False,False,22,11,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,0.5491780204920632,-0.8357053917550246,6.295628635333333,13.834169635333334
2025-11-01 23:00:00+00:00,141.76614,7.562142,11.726277,162.12122,Bikaner,4.164135,False,True,False,False,False,23,11,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384,0.618872704000262,-0.7854912960965285,6.97953007133333,14.54167207133333
2025-11-02 00:00:00+00:00,153.94656,9.016185,11.9317045,168.69011,Bikaner,2.9155195000000003,False,True,False,False,False,0,11,0.0,1.0,-0.5000000000000004,0.8660254037844384,0.43920926474923533,-0.8983847849103612,2.5130345120000017,11.529219512000001
2025-11-02 01:00:00+00:00,163.73972,9.0,12.093534,175.7322,Bikaner,3.093534,False,True,False,False,False,1,11,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384,0.28000126152409976,-0.9599996320545715,4.197795944,13.197795944
2025-11-02 02:00:00+00:00,170.53775,9.854075,12.0720825,182.56372,Bikaner,2.2180075000000006,False,True,False,False,False,2,11,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384,0.16439774418473327,-0.9863941310181094,7.544831281999997,17.398906282
2025-11-02 03:00:00+00:00,171.15826,8.197414,10.742848,188.6731,Bikaner,2.545434,False,True,False,False,False,3,11,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384,0.1537057204251914,-0.9881166689761756,9.440864452999989,17.63827845299999
2025-11-02 04:00:00+00:00,176.186,5.4119864,11.265469,192.926,Bikaner,5.8534825999999995,False,True,False,False,False,4,11,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,0.06651770731177278,-0.9977852447365542,3.648695783,9.060682183
2025-11-02 05:00:00+00:00,182.04536,5.0432134,12.758432,196.38962,Bikaner,7.715218600000001,False,True,False,False,False,5,11,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384,-0.035690684760877264,-0.9993628845526031,6.538691979000001,11.581905379000002
2025-11-02 06:00:00+00:00,222.70937,3.1845248,10.6261,206.13094,Bikaner,7.441575199999999,False,True,False,False,False,6,11,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384,-0.6782798467850635,-0.7348036808870998,6.521029024000001,9.705553824
2025-11-02 07:00:00+00:00,283.39252,3.8856654,8.287822,235.6196,Bikaner,4.4021566,False,True,False,False,False,7,11,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384,-0.9728061247539245,0.23162090501777227,3.3751436550000027,7.260809055000003
2025-11-02 08:00:00+00:00,302.00534,5.09435,8.197414,261.15826,Bikaner,3.103064,False,True,False,False,False,8,11,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,-0.8479987036894076,0.5299983005077322,1.6126914336000007,6.707041433600001
2025-11-02 09:00:00+00:00,308.65982,5.7628117,8.297589,273.73132,Bikaner,2.5347773,False,True,False,False,False,9,11,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,-0.7808686813775294,0.6246952076362668,1.5113642329999992,7.2741759329999995
2025-11-02 10:00:00+00:00,317.38596,6.114703,7.562142,271.3639,Bikaner,1.4474389999999993,False,True,False,False,False,10,11,0.49999999999999994,-0.8660254037844387,-0.5000000000000004,0.8660254037844384,-0.6770563257004761,0.7359312004725516,2.0795961949999997,8.194299195
2025-11-02 11:00:00+00:00,330.01843,5.402999,7.0223074,271.46878,Bikaner,1.6193083999999995,False,True,False,False,False,11,11,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384,-0.49972140478548543,0.8661861910693457,0.7288288567000003,6.131827856700001
2025-11-02 12:00:00+00:00,353.29025,3.0811036,5.04,270.0,Bikaner,1.9588964,False,True,False,False,False,12,11,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,-0.11683974286347848,0.993150781345711,3.7602613110000003,6.841364911
